table_id,dept,prov,dist,eligible_voters,total_voters
033489,LIMA,LIMA,LIMA,300,204
033490,LIMA,LIMA,LIMA,300,206
033491,LIMA,LIMA,LIMA,300,207
033492,LIMA,LIMA,LIMA,300,267
033493,LIMA,LIMA,LIMA,300,258
033494,LIMA,LIMA,LIMA,300,261
033495,LIMA,LIMA,LIMA,300,259
033496,LIMA,LIMA,LIMA,300,264
033497,LIMA,LIMA,LIMA,300,256
033498,LIMA,LIMA,LIMA,300,241
033499,LIMA,LIMA,LIMA,300,257
033500,LIMA,LIMA,LIMA,300,227
033501,LIMA,LIMA,LIMA,300,235
033502,LIMA,LIMA,LIMA,300,238
033503,LIMA,LIMA,LIMA,300,221
033504,LIMA,LIMA,LIMA,300,194
033505,LIMA,LIMA,LIMA,300,220
033506,LIMA,LIMA,LIMA,300,214
033507,LIMA,LIMA,LIMA,300,220
033508,LIMA,LIMA,LIMA,300,221
033509,LIMA,LIMA,LIMA,300,202
033510,LIMA,LIMA,LIMA,300,216
033511,LIMA,LIMA,LIMA,300,228
033512,LIMA,LIMA,LIMA,300,223
033513,LIMA,LIMA,LIMA,300,222
033514,LIMA,LIMA,LIMA,300,227
033515,LIMA,LIMA,LIMA,300,202
033516,LIMA,LIMA,LIMA,300,228
033517,LIMA,LIMA,LIMA,300,213
033518,LIMA,LIMA,LIMA,300,227
033519,LIMA,LIMA,LIMA,300,233
033520,LIMA,LIMA,LIMA,300,224
033521,LIMA,LIMA,LIMA,300,207
033522,LIMA,LIMA,LIMA,300,234
033523,LIMA,LIMA,LIMA,300,229
033524,LIMA,LIMA,LIMA,300,220
033525,LIMA,LIMA,LIMA,300,215
033526,LIMA,LIMA,LIMA,300,223
033527,LIMA,LIMA,LIMA,300,218
033528,LIMA,LIMA,LIMA,300,217
033529,LIMA,LIMA,LIMA,300,235
033530,LIMA,LIMA,LIMA,300,225
033531,LIMA,LIMA,LIMA,300,224
033532,LIMA,LIMA,LIMA,300,214
033533,LIMA,LIMA,LIMA,300,210
033534,LIMA,LIMA,LIMA,300,222
033535,LIMA,LIMA,LIMA,300,234
033536,LIMA,LIMA,LIMA,300,223
033537,LIMA,LIMA,LIMA,300,207
033538,LIMA,LIMA,LIMA,300,231
033539,LIMA,LIMA,LIMA,300,222
033540,LIMA,LIMA,LIMA,300,218
033541,LIMA,LIMA,LIMA,300,215
033542,LIMA,LIMA,LIMA,300,210
033543,LIMA,LIMA,LIMA,300,227
033544,LIMA,LIMA,LIMA,300,225
033545,LIMA,LIMA,LIMA,300,218
033546,LIMA,LIMA,LIMA,300,214
033547,LIMA,LIMA,LIMA,300,213
033548,LIMA,LIMA,LIMA,300,217
033549,LIMA,LIMA,LIMA,300,214
033550,LIMA,LIMA,LIMA,300,215
033551,LIMA,LIMA,LIMA,300,228
033552,LIMA,LIMA,LIMA,300,218
033553,LIMA,LIMA,LIMA,300,212
033554,LIMA,LIMA,LIMA,300,223
033555,LIMA,LIMA,LIMA,300,216
033556,LIMA,LIMA,LIMA,300,217
033557,LIMA,LIMA,LIMA,300,171
033558,LIMA,LIMA,LIMA,300,202
033559,LIMA,LIMA,LIMA,300,181
033560,LIMA,LIMA,LIMA,300,198
033561,LIMA,LIMA,LIMA,300,180
033562,LIMA,LIMA,LIMA,300,200
033563,LIMA,LIMA,LIMA,300,190
033564,LIMA,LIMA,LIMA,300,237
033565,LIMA,LIMA,LIMA,300,248
033566,LIMA,LIMA,LIMA,300,243
033567,LIMA,LIMA,LIMA,300,227
033568,LIMA,LIMA,LIMA,300,238
033569,LIMA,LIMA,LIMA,300,225
033570,LIMA,LIMA,LIMA,300,247
033571,LIMA,LIMA,LIMA,300,243
033572,LIMA,LIMA,LIMA,300,182
033573,LIMA,LIMA,LIMA,300,197
033574,LIMA,LIMA,LIMA,300,211
033575,LIMA,LIMA,LIMA,300,218
033576,LIMA,LIMA,LIMA,300,208
033577,LIMA,LIMA,LIMA,300,210
033578,LIMA,LIMA,LIMA,300,186
033579,LIMA,LIMA,LIMA,300,191
033580,LIMA,LIMA,LIMA,300,195
033581,LIMA,LIMA,LIMA,300,209
033582,LIMA,LIMA,LIMA,300,214
033583,LIMA,LIMA,LIMA,300,229
033584,LIMA,LIMA,LIMA,300,210
033585,LIMA,LIMA,LIMA,300,217
033586,LIMA,LIMA,LIMA,300,206
033587,LIMA,LIMA,LIMA,300,214
033588,LIMA,LIMA,LIMA,300,221
033589,LIMA,LIMA,LIMA,300,224
033590,LIMA,LIMA,LIMA,300,213
033591,LIMA,LIMA,LIMA,300,209
033592,LIMA,LIMA,LIMA,300,199
033593,LIMA,LIMA,LIMA,300,204
033594,LIMA,LIMA,LIMA,300,217
033595,LIMA,LIMA,LIMA,300,212
033596,LIMA,LIMA,LIMA,300,215
033597,LIMA,LIMA,LIMA,300,220
033598,LIMA,LIMA,LIMA,300,210
033599,LIMA,LIMA,LIMA,300,200
033600,LIMA,LIMA,LIMA,300,204
033601,LIMA,LIMA,LIMA,300,221
033602,LIMA,LIMA,LIMA,300,225
033603,LIMA,LIMA,LIMA,300,230
033604,LIMA,LIMA,LIMA,300,229
033605,LIMA,LIMA,LIMA,300,243
033606,LIMA,LIMA,LIMA,300,231
033607,LIMA,LIMA,LIMA,300,237
033608,LIMA,LIMA,LIMA,300,235
033609,LIMA,LIMA,LIMA,300,242
033610,LIMA,LIMA,LIMA,300,240
033611,LIMA,LIMA,LIMA,300,232
033612,LIMA,LIMA,LIMA,300,241
033613,LIMA,LIMA,LIMA,300,226
033614,LIMA,LIMA,LIMA,300,237
033615,LIMA,LIMA,LIMA,300,228
033616,LIMA,LIMA,LIMA,300,232
033617,LIMA,LIMA,LIMA,300,237
033618,LIMA,LIMA,LIMA,300,246
033619,LIMA,LIMA,LIMA,300,270
033620,LIMA,LIMA,LIMA,300,269
033621,LIMA,LIMA,LIMA,300,247
033622,LIMA,LIMA,LIMA,300,264
033623,LIMA,LIMA,LIMA,300,272
033624,LIMA,LIMA,LIMA,300,251
033625,LIMA,LIMA,LIMA,300,192
033626,LIMA,LIMA,LIMA,300,212
033627,LIMA,LIMA,LIMA,300,222
033628,LIMA,LIMA,LIMA,300,228
033629,LIMA,LIMA,LIMA,300,216
033630,LIMA,LIMA,LIMA,300,204
033631,LIMA,LIMA,LIMA,300,209
033632,LIMA,LIMA,LIMA,300,213
033633,LIMA,LIMA,LIMA,300,214
033634,LIMA,LIMA,LIMA,300,209
033635,LIMA,LIMA,LIMA,300,209
033636,LIMA,LIMA,LIMA,300,224
033637,LIMA,LIMA,LIMA,300,217
033638,LIMA,LIMA,LIMA,300,221
033639,LIMA,LIMA,LIMA,300,206
033640,LIMA,LIMA,LIMA,300,186
033641,LIMA,LIMA,LIMA,300,196
033642,LIMA,LIMA,LIMA,300,197
033643,LIMA,LIMA,LIMA,300,186
033644,LIMA,LIMA,LIMA,300,209
033645,LIMA,LIMA,LIMA,300,205
033646,LIMA,LIMA,LIMA,300,227
033647,LIMA,LIMA,LIMA,300,216
033648,LIMA,LIMA,LIMA,300,213
033649,LIMA,LIMA,LIMA,300,210
033650,LIMA,LIMA,LIMA,300,216
033651,LIMA,LIMA,LIMA,300,209
033652,LIMA,LIMA,LIMA,300,222
033653,LIMA,LIMA,LIMA,300,202
