table_id,department,province,district,installation_time,eligible_voters,total_voted,rp,jpp
036191,LIMA,LIMA,LIMA,07:05 a. m.,300,245,47,1
036194,LIMA,LIMA,LIMA,08:02 a. m.,300,257,73,3
036199,LIMA,LIMA,LIMA,08:31 a. m.,300,244,38,5
036198,LIMA,LIMA,LIMA,07:40 a. m.,230,191,46,2
036196,LIMA,LIMA,LIMA,07:00 a. m.,300,244,55,5
036201,LIMA,LIMA,LIMA,07:25 a. m.,300,240,48,1
036200,LIMA,LIMA,LIMA,07:31 a. m.,300,244,54,7
036203,LIMA,LIMA,LIMA,08:58 a. m.,300,241,49,3
036202,LIMA,LIMA,LIMA,07:18 a. m.,300,234,39,2
036204,LIMA,LIMA,LIMA,07:56 a. m.,300,246,50,7
036207,LIMA,LIMA,LIMA,07:00 a. m.,300,253,53,0
036206,LIMA,LIMA,LIMA,07:33 a. m.,230,189,39,2
036208,LIMA,LIMA,LIMA,07:25 a. m.,300,265,51,4
036205,LIMA,LIMA,LIMA,07:23 a. m.,300,244,54,6
036214,LIMA,LIMA,LIMA,06:53 a. m.,300,255,47,6
036213,LIMA,LIMA,LIMA,06:45 a. m.,300,255,50,2
036215,LIMA,LIMA,LIMA,07:24 a. m.,300,256,39,0
036211,LIMA,LIMA,LIMA,07:06 a. m.,300,248,49,1
036209,LIMA,LIMA,LIMA,08:27 a. m.,300,250,51,1
036212,LIMA,LIMA,LIMA,07:00 a. m.,300,260,44,1
036216,LIMA,LIMA,LIMA,07:03 a. m.,300,258,50,4
036217,LIMA,LIMA,LIMA,07:53 a. m.,300,255,42,2
036219,LIMA,LIMA,LIMA,07:43 a. m.,300,253,43,3
036221,LIMA,LIMA,LIMA,07:17 a. m.,300,247,65,1
036224,LIMA,LIMA,LIMA,09:03 a. m.,300,243,60,0
036220,LIMA,LIMA,LIMA,07:26 a. m.,230,170,43,0
036225,LIMA,LIMA,LIMA,07:00 a. m.,300,247,60,1
036227,LIMA,LIMA,LIMA,09:25 a. m.,300,248,46,2
036230,LIMA,LIMA,LIMA,07:00 a. m.,300,249,57,2
036228,LIMA,LIMA,LIMA,07:15 a. m.,300,245,64,3
036229,LIMA,LIMA,LIMA,07:00 a. m.,300,249,57,2
036233,LIMA,LIMA,LIMA,07:16 a. m.,300,246,52,0
036231,LIMA,LIMA,LIMA,08:10 a. m.,300,252,55,4
036232,LIMA,LIMA,LIMA,07:10 a. m.,300,257,59,3
036235,LIMA,LIMA,LIMA,07:00 a. m.,230,182,34,2
036234,LIMA,LIMA,LIMA,07:32 a. m.,300,244,78,2
036237,LIMA,LIMA,LIMA,07:44 a. m.,300,237,52,2
036239,LIMA,LIMA,LIMA,07:40 a. m.,300,230,41,3
036236,LIMA,LIMA,LIMA,07:30 a. m.,300,233,39,5
036240,LIMA,LIMA,LIMA,07:15 a. m.,300,247,39,3
036238,LIMA,LIMA,LIMA,07:49 a. m.,300,229,37,1
036243,LIMA,LIMA,LIMA,08:30 a. m.,300,243,36,4
036242,LIMA,LIMA,LIMA,08:01 a. m.,300,227,46,4
036241,LIMA,LIMA,LIMA,07:05 a. m.,300,234,40,5
036246,LIMA,LIMA,LIMA,07:40 a. m.,300,245,50,3
036245,LIMA,LIMA,LIMA,08:40 a. m.,300,245,50,6
036244,LIMA,LIMA,LIMA,07:09 a. m.,300,226,59,1
036247,LIMA,LIMA,LIMA,07:06 a. m.,300,243,40,4
036248,LIMA,LIMA,LIMA,07:18 a. m.,300,224,37,5
036249,LIMA,LIMA,LIMA,07:18 a. m.,300,233,41,2
036252,LIMA,LIMA,LIMA,08:00 a. m.,300,237,38,5
036250,LIMA,LIMA,LIMA,07:07 a. m.,300,241,50,4
036251,LIMA,LIMA,LIMA,07:36 a. m.,300,230,47,4
036254,LIMA,LIMA,LIMA,08:16 a. m.,300,235,44,4
